id,text,score,pub_date,author_id,title_id
1,"Фильм оставил сильнейшее впечатление — история о надежде и дружбе в стенах тюрьмы живёт в голове ещё долго после просмотра.",10,2025-11-06T12:00:00,2,1
2,"Классика! Морган Фриман великолепен, но всё же немного затянуто.",9,2025-11-06T12:05:00,3,1
3,"Не понимаю всеобщего восторга. Хорошо, но не шедевр.",7,2025-11-06T12:10:00,4,1
4,"«Крестный отец» — эталон мафиозной драмы. Каждый кадр пропитан атмосферой власти и семьи.",10,2025-11-06T12:15:00,5,2
5,"Фильм тяжёлый, но гениальный. Коппола сделал не кино, а миф.",9,2025-11-06T12:20:00,3,2
6,"Скучно. Может, я просто не люблю гангстеров.",5,2025-11-06T12:25:00,4,2
7,"«12 разгневанных мужчин» — пример того, как можно снять шедевр в одной комнате.",10,2025-11-06T12:30:00,2,3
8,"Потрясающий сценарий. После таких фильмов перестаёшь сомневаться в силе слова.",9,2025-11-06T12:35:00,5,3
9,"Немного устал от морализаторства, но актёры — на высоте.",8,2025-11-06T12:40:00,4,3
10,"«Список Шиндлера» раздавил эмоционально. Смотрел в тишине до последнего кадра.",10,2025-11-06T12:45:00,2,4
11,"Настоящее кино о человечности и чудовищах. Никакого пафоса, только правда.",9,2025-11-06T12:50:00,5,4
12,"Не выдержал второй половины. Слишком длинно, но мощно.",8,2025-11-06T12:55:00,3,4
13,"«Криминальное чтиво» — это стиль. Диалоги, музыка, юмор — всё работает.",10,2025-11-06T13:00:00,4,5
14,"Самый цитируемый фильм 90-х. Обожаю.",9,2025-11-06T13:05:00,5,5
15,"Не зашло. Слишком странное переплетение сюжетов.",6,2025-11-06T13:10:00,2,5
16,"Клинт Иствуд и компания создали вечный вестерн. Музыка Мориκоне — гений.",10,2025-11-06T13:15:00,3,6
17,"Старое кино, но эмоции как будто свежие. Атмосфера — золото.",9,2025-11-06T13:20:00,5,6
18,"Не ожидал, что понравится, но теперь понимаю, почему это классика.",8,2025-11-06T13:25:00,4,6
19,"«Братство кольца» — волшебство. Первые 30 минут и ты уже в Средиземье.",10,2025-11-06T13:30:00,2,7
20,"С детства обожаю этот фильм. Герои, музыка, масштаб — идеал.",9,2025-11-06T13:35:00,3,7
21,"Немного затянут, но всё равно эпично.",8,2025-11-06T13:40:00,4,7
22,"«Бойцовский клуб» — манифест поколения. Слишком близко к сердцу.",10,2025-11-06T13:45:00,5,8
23,"Каждый раз открываю для себя что-то новое. Глубоко.",9,2025-11-06T13:50:00,3,8
24,"Слишком философский финал, но Брэд Питт великолепен.",8,2025-11-06T13:55:00,2,8
25,"«Форрест Гамп» — добро в чистом виде. Простая история, но какая искренняя.",10,2025-11-06T14:00:00,5,9
26,"Смотрел десятки раз, и всё равно слёзы. Великое кино.",10,2025-11-06T14:05:00,3,9
27,"Иногда кажется, что слишком идеализировано, но трогает до глубины.",9,2025-11-06T14:10:00,4,9
28,"Пятая часть «Звёздных войн» — лучшая. Финал с отцом — мурашки каждый раз.",10,2025-11-06T14:15:00,5,10
29,"Старое кино, но спецэффекты всё ещё впечатляют. Настоящая магия.",9,2025-11-06T14:20:00,3,10
30,"Фанатам — восторг, остальным может показаться перегруженным.",8,2025-11-06T14:25:00,2,10
31,"«Матрица» — квинтэссенция философии и экшена. Не стареет.",10,2025-11-06T14:30:00,5,12
32,"После просмотра хочется пересмотреть мир. Великий фильм.",9,2025-11-06T14:35:00,3,12
33,"Немного перегружено идеями, но визуально круто.",8,2025-11-06T14:40:00,2,12
34,"«Назад в будущее» — детство, смех, драйв. Хочу в Делориан!",10,2025-11-06T14:45:00,5,14
35,"Просто праздник. Никакого цинизма, только приключение.",9,2025-11-06T14:50:00,3,14
36,"Смотрел с детьми — им понравилось даже больше, чем мне.",8,2025-11-06T14:55:00,4,14
37,"«Джанго освобождённый» — чистый восторг. Тарантино снова в ударе.",10,2025-11-06T15:00:00,2,18
38,"Кроваво, но стильно. Ди Каприо шикарен.",9,2025-11-06T15:05:00,3,18
39,"Слишком длинный, но не оторваться.",8,2025-11-06T15:10:00,5,18
40,"«Generation П» — редкий случай, когда кино глубже книги.",9,2025-11-06T15:15:00,4,19
41,"Точная атмосфера девяностых. Умное, колкое, странное.",8,2025-11-06T15:20:00,5,19
42,"Не всем зайдёт, но для тех, кто помнит то время, — попадание в десятку.",10,2025-11-06T15:25:00,3,19
43,"«Война и мир» — непросто, но грандиозно. Как читать Толстого глазами камеры.",9,2025-11-06T15:30:00,2,22
44,"Потрясающая постановка. Сцены бала завораживают.",8,2025-11-06T15:35:00,3,22
45,"Слишком театрально, но дух эпохи передан.",7,2025-11-06T15:40:00,4,22
46,"«Винни-Пух» — добро и философия в одном флаконе. Детям и взрослым.",10,2025-11-06T15:45:00,2,25
47,"Простота, которая обезоруживает. Советская анимация навсегда.",9,2025-11-06T15:50:00,5,25
48,"Лучший мультфильм о дружбе. Не стареет.",10,2025-11-06T15:55:00,4,25
49,"«Smoke on the Water» — гимн гитаристов. Вечная классика.",10,2025-11-06T16:00:00,3,30
50,"Энергия, звук, дух времени — всё на месте.",9,2025-11-06T16:05:00,5,30
