id,text,pub_date,author_id,review_id
1,"Полностью согласен, «Побег из Шоушенка» действительно вдохновляет.",2025-11-06T16:10:00,3,1
2,"Мне наоборот показалось, что фильм немного идеализирует персонажей.",2025-11-06T16:12:00,4,1
3,"Да, этот момент с письмом — просто мурашки.",2025-11-06T16:15:00,5,2
4,"Видимо, я один, кому не понравился финал. Слишком сказочно.",2025-11-06T16:18:00,2,3
5,"«Крестный отец» можно смотреть бесконечно, и каждый раз открываешь новое.",2025-11-06T16:20:00,5,4
6,"Тоже считаю, что это миф, а не просто фильм.",2025-11-06T16:22:00,3,5
7,"А мне скучно было, первый час вообще ничего не происходит.",2025-11-06T16:25:00,4,6
8,"«12 разгневанных мужчин» — пример, как сила слова может менять жизни.",2025-11-06T16:28:00,5,7
9,"После этого фильма захотел стать юристом. Настолько мощно.",2025-11-06T16:30:00,2,7
10,"Да, я тоже плакал на «Списке Шиндлера». Это не просто кино, а документ боли.",2025-11-06T16:32:00,3,10
11,"Как по мне, вторая половина слабее. Но концовка всё вытягивает.",2025-11-06T16:35:00,4,12
12,"Никогда не забуду сцену с танцем Умы и Траволты.",2025-11-06T16:38:00,2,13
13,"Согласен, «Криминальное чтиво» — квинтэссенция Тарантино.",2025-11-06T16:40:00,5,13
14,"Музыка Мориκоне — это 50% атмосферы в «Хороший, плохой, злой».",2025-11-06T16:43:00,3,16
15,"Клинт Иствуд в молодости — просто харизма на ногах.",2025-11-06T16:45:00,4,16
16,"«Бойцовский клуб» заставил задуматься, кто я есть на самом деле.",2025-11-06T16:48:00,2,22
17,"А мне кажется, там слишком всё мрачно. Хотя идея крутая.",2025-11-06T16:50:00,5,22
18,"Форрест Гамп — фильм, который лечит. Каждый раз как первый.",2025-11-06T16:53:00,3,25
19,"Да, согласен! Сцена с перышком — гениальная метафора.",2025-11-06T16:55:00,5,26
20,"«Матрица» и сегодня выглядит свежо. Жаль, что продолжения не дотянули.",2025-11-06T16:57:00,2,31
21,"В 99-м я вышел из кинотеатра в шоке — как будто мир больше не тот.",2025-11-06T17:00:00,4,31
22,"«Назад в будущее» — мой любимый фильм детства. Никогда не надоест.",2025-11-06T17:03:00,3,34
23,"Да, Браун и МакФлай — легендарный дуэт!",2025-11-06T17:05:00,5,34
24,"«Джанго освобождённый» просто взорвал мне мозг. Саундтрек — огонь!",2025-11-06T17:08:00,2,37
25,"Сцена с Кристофом Вальцем — одна из лучших у Тарантино.",2025-11-06T17:10:00,4,37
